,level_0,event,person,time,value
0,0,offer completed,37f7b59a483e4201bf5fc0d99978622f,0,30.51
1,1,offer completed,9643b1f0557945f2940b96743fd128e4,0,11.81
2,2,offer completed,aa8159bbe9134ccfb6d7807714c8ea19,0,12.41
3,3,offer completed,53879247fce049dd9e8d55da657fe9a1,0,27.23
4,4,offer completed,e88b9aaa938c446289fb909cffeaa255,0,29.37
5,5,offer completed,b4fab356e0a94cd3912b53c475573909,0,9.49
6,6,offer completed,27e9b15f6003425495278e6aa2ea2366,0,16.78
7,7,offer completed,2e6f1b4a2bea4207bcfbcee2b6efcdbc,0,17.0
8,8,offer completed,872683bcd7534cebbed03becb39014d9,0,33.74
9,9,offer completed,4d532ed0e6de4994a4eb3d04de0b3bc7,0,20.27
10,10,offer completed,1a39a01830e44e4aaa9aa037c23b4bcc,0,7.99
11,11,offer completed,e020fbd77c5445d6be1d8fba3dea9934,0,11.26
12,12,offer completed,d643a3df453d42f4a5790a1ffb15b488,0,13.18
13,13,offer completed,869877ca821a4a0c8398e47cdc4b4312,0,21.7
14,14,offer completed,9d1a80ee80274a7b843e92e17208c99b,0,7.72
15,15,offer completed,8c14daeddfbe41c4bc574cfc6acdf2ff,0,8.75
16,16,offer completed,4e755b41845349b4bc3c2ae60902ee13,0,16.91
17,17,offer completed,0975267d50f7470da79d18591352e13d,0,17.48
18,18,offer completed,b34eb5a525e5497897275dcd8b5e7ff2,0,23.92
19,19,offer completed,ed84d24d38fd43feab88ed5c6a489124,0,17.95
20,20,offer completed,91076437219d41eeab0035d1e1419925,0,26.8
21,21,offer completed,a8fcc392843343428db13c0814f7d5b3,0,23.5
22,22,offer completed,11edb6a7da284f19a8a1da5e7c0c9652,0,21.71
23,23,offer completed,1f99f39237164b17a8b6848f4ce881c3,0,10.6
24,24,offer completed,3d073e2d43f04815a4c84e53b36e3a5c,0,12.76
25,25,offer completed,9096694eb31b4b9fb9c12fa9c626d028,0,7.01
26,26,offer completed,a6c6bc7bbbaa46f4a7c36d036cf537b2,0,13.06
27,27,offer completed,f8e1a46daab849268feecf21ba67ae50,0,17.43
28,28,offer completed,80bc3a67e3ff43c491da0f3cd28bc3fa,0,16.1
29,29,offer completed,25a6a84ea8f74fcaac3768c839b1a8a6,0,20.5
30,30,offer completed,aea3357bef1c44a180ae8e217df12fa0,0,11.71
31,31,offer completed,292117548f3e4adebb5b5f896e479f13,0,11.46
32,32,offer completed,0f4a68826e204f45be2a1103dcc5b014,0,16.29
33,33,offer completed,25d1e76f7c0b43579b0e5a07cc827bf5,0,14.51
34,34,offer completed,787d7fac9488408b99bc4be662ae2655,0,45.09
35,35,offer completed,5dda3558f4704bf9a5e46c115cf2f6b7,0,16.51
36,36,offer completed,40bbc83401e74e71ace9e09af32c516e,0,11.09
37,37,offer completed,3bfb10e9ca4f4e6292425d16c0c1cff3,0,5.85
38,38,offer completed,95d6656ab3d74c309ba5cd64099aadfd,0,21.02
39,39,offer completed,d212052a213842e7863821f278bc4bdf,0,13.03
40,40,offer completed,6654aee73c3b477da42ca1b585562e95,0,10.8
41,41,offer completed,2cef524a7be341e0b51ff1a3b1228a78,0,28.97
42,42,offer completed,020cd0f8047142e18a754303f9337d53,0,20.5
43,43,offer completed,7c03888c7d2442c3bf00bdc22716e534,0,16.68
44,44,offer completed,24ab1d9c55254e8eb9d263f3bf3d98fc,0,6.72
45,45,offer completed,42047da7b4444c408754ec94d113ee5f,0,8.11
46,46,offer completed,42f0d273d2914b0192bd37a37888df36,0,16.92
47,47,offer completed,6200620f3420479c9a00f5481fa4f0a3,0,19.38
48,48,offer completed,5da599f0f0ca40a6916e28487a55e655,0,18.39
49,49,offer completed,53426d80b1f7435284264b934478a750,0,14.73
50,50,offer completed,329a9b32e7e0475cb2643125919c4d90,0,5.48
51,51,offer completed,dd2d770b5b9f41bd9382964971dde25e,0,28.82
52,52,offer completed,2bd89e48c6b44c2c8f4742c4188af542,0,21.31
53,53,offer completed,4f822bd53d0d4af2b511355890d33c07,0,22.73
54,54,offer completed,43005ea0767043898ec9ae15e0a64e33,0,19.68
55,55,offer completed,dffe25b1294f4166a72f73f57926214e,0,16.89
56,56,offer completed,6c7eda4aff42485d8a6c4868c0739857,0,25.37
57,57,offer completed,d162eae1102148a9883683a11f4f05f4,0,22.92
58,58,offer completed,4468048bdc5548238d2ee46de738eb39,0,20.47
59,59,offer completed,41486bbaab7a49e2afc05d2b48d3b00f,0,16.6
60,60,offer completed,05f4d69f73024172a23a350e611166b4,0,8.97
61,61,offer completed,52eb99f0838e4d69b3a33cdfd899f5a6,0,34.73
62,62,offer completed,c0231649f05d40889e3a6e1172303b37,0,14.09
63,63,offer completed,3b84fac9ca1148bb96b133ced98f565a,0,13.13
64,64,offer completed,33834c812b4e47e4955093ad03f6117a,0,10.81
65,65,offer completed,7b53d7ddc0d64a929d216857837bdab6,0,27.52
66,66,offer completed,a138d7637a054c37800609decf35c5c6,0,23.51
67,67,offer completed,a05d5de8d4314ec19162578f67af3fee,0,16.3
68,68,offer completed,42356a716cc04449888a67939d08a18b,0,20.18
69,69,offer completed,1bd41beee6624c11a3c8948ab7df415e,0,29.42
70,70,offer completed,15d906eaa284480fb8120f0589368b1d,0,37.18
71,71,offer completed,d5e2f2e2b5be45ed888c42f4997a6a1f,0,19.01
72,72,offer completed,c2215f480a39490e8830b7700cf6f7b7,0,24.94
73,73,offer completed,a5b13a923611434dadcb9e000abbd361,0,16.91
74,74,offer completed,3d6dda5a29c345fa99982972c7012b15,0,33.67
75,75,offer completed,d3cddb41ae3b43edaa67777501c32e45,0,15.64
76,76,offer completed,64763980a84b4d7d898a734898b82f93,0,11.11
77,77,offer completed,e3d702e7f76e4b7abf3504037b4618e7,0,13.56
78,78,offer completed,93afa7690b4545beaa80d6137191a204,0,20.95
79,79,offer completed,e6e3ef82d604433bafcf9edbbc0b5637,0,10.76
80,80,offer completed,a5c24057de1147a798422162559bbe83,0,16.56
81,81,offer completed,1d4accd4959644ffbf54d95ce72ce03b,0,28.91
82,82,offer completed,ed213022de554001874b97fcff479283,0,13.45
83,83,offer completed,9ab70826a6ae46848c108fd59643355d,0,15.28
84,84,offer completed,3b3f94dcf71d4d87884b335b9301b1c6,0,9.39
85,85,offer completed,a7b4125e7dee473cae2c1aa45a7978be,0,27.69
86,86,offer completed,e8c52866c69f4a44bcb3a012d7cbbcf7,0,19.12
87,87,offer completed,2cf11dc12eb14bec91363b1a67807206,0,8.25
88,88,offer completed,9206ea0810554e108e66f0cc3058b539,0,20.81
89,89,offer completed,b10f5a1006c249dca0faa1c4cbb54322,0,11.36
90,90,offer completed,e1eeb00d88264a7ebcdde3b49e910442,0,16.73
91,91,offer completed,a6af69d4f60e49adb49022aba7a6392b,0,19.05
92,92,offer completed,d3280ab59cf24b639ca87d7595108e67,0,5.87
93,93,offer completed,982f55c5b5f742c1a7edcdfce10f067b,0,15.47
94,94,offer completed,3c88696ac23741cb8a709d656fe5ccdf,0,25.14
95,95,offer completed,1593d617fac246ef8e50dbb0ffd77f5f,0,18.82
96,96,offer completed,f367a50b86d049799bbb0eb645ee834c,0,195.24
97,97,offer completed,d5d487cfdc5b456b84b7881ad5d3640b,0,17.5
98,98,offer completed,0b64be3b241c4407a5c9a71781173829,0,11.05
99,99,offer completed,ba620885e51c4b0ea64a4f61daad494f,0,17.04
100,100,offer completed,e628fd3ca1f3489bac3d02975647f286,0,14.89
101,101,offer completed,2c107d718e614961ae18c8ef2af37b03,0,43.26
102,102,offer completed,d5e320154bed471592aeee77ca14c085,0,7.83
103,103,offer completed,fa30b94ef4014d5c9a34d09b785e0d20,0,15.35
104,104,offer completed,c0e7f053eb564c528c3a5a920e7f8604,0,12.28
105,105,offer completed,d8d2466b53034391b840556be4b1be2c,0,17.07
106,106,offer completed,e8fb6c8da3794b2ab602b065b3435f43,0,22.84
107,107,offer completed,ae11c6794bcd4afbb6207e7f6722d93d,0,11.93
108,108,offer completed,9036c74e796741abadcd03cdede004b5,0,26.21
109,109,offer completed,c5aefbc176c24b2d892c19155a5df84a,0,12.28
110,110,offer completed,640052628384401ea425fba9441a8d2f,0,19.9
111,111,offer completed,d0dac503d6f3416aa15c388ce2aff530,0,15.7
112,112,offer completed,864162f4e89942f6a1391ac5f2142fc3,0,17.39
113,113,offer completed,eadded7715674f5baf27721e68c930e6,0,21.22
114,114,offer completed,2520c1ca400d43f4bf52ed6f482a6a75,0,37.12
115,115,offer completed,7c6e3fb8f20a444b949c6d94ace44f02,0,10.07
116,116,offer completed,89471970d2fc4f5ebe1712424467d0b5,0,30.33
117,117,offer completed,2170ec957f354a51a6e41ecd1a9a8f36,0,20.74
118,118,offer completed,906e0eeff3bc43d79e3686adf7232594,0,19.86
119,119,offer completed,bf5783772fee4f2ab126f07bf3be80f1,0,11.37
120,120,offer completed,81d8b9eb710c49f6ada2ae0af9fa9be1,0,27.71
121,121,offer completed,12adf13711144814b9dabf37838edb47,0,29.99
122,122,offer completed,5d3f09e7ccb5466d875925d63db35f72,0,23.51
123,123,offer completed,a87dd5ea878444f08ab557b145c5377c,0,9.09
124,124,offer completed,1997b4c538804d42bac6d58c32ec26b4,0,21.11
125,125,offer completed,9aa538ebf4704f10b8c53e221e6e1efe,0,19.54
126,126,offer completed,401b7219cb274c57ae4d07232f029e0f,0,21.65
127,127,offer completed,0ff55591a7c54f74b0c125c9ba18590d,0,13.26
128,128,offer completed,c9f8fc7c8a614ca7af15206f59f99cb2,0,13.53
129,129,offer completed,2bd1b8cdd34f4e6d99c1d243cb7b1707,0,15.15
130,130,offer completed,3afdcadc6c364dbd93a68d29b6abbcb8,0,5.4
131,131,offer completed,b9dd94b4eeac44c2b7e3127256772052,0,25.18
132,132,offer completed,1512f8872f5443d69b4416bbf672dcb9,0,24.64
133,133,offer completed,8692060470dd472385a617029e19fc91,0,23.9
134,134,offer completed,2fb4578848f34ce4b779cdf4e7baa732,0,21.4
135,135,offer completed,f2b8206c03384a19819420abd6c80680,0,6.32
136,136,offer completed,5725b27c56ce42bb86569bd965ab35eb,0,33.56
137,137,offer completed,bb77ce209b4a4ca89349030aea4b949e,0,26.11
138,138,offer completed,ce00548e34ef41ec93e4fbbe6a05d05c,0,12.09
139,139,offer completed,c2f2e7f440bc45738b2fbea9b58217bd,0,11.29
140,140,offer completed,a45b69f1c8554ae7af83e74426ca437a,0,16.34
141,141,offer completed,72b5a6743ee84f01a40fd6f1a378c560,0,26.47
142,142,offer completed,dfb467ce80d54545ae7ffc103b8fba35,0,14.93
143,143,offer completed,a9a088afe7f54587bb28b723d403f476,0,22.87
144,144,offer completed,d885cede482e4a03b42991c72c254265,0,7.51
145,145,offer completed,1b280e5d01d444ddba1b3871e0ac3bbe,0,20.18
146,146,offer completed,e039a7776e2d4ebfbb5b240e3811c0a3,0,12.06
147,147,offer completed,686337f3cd1d4f548af8dcf79b727954,0,34.01
148,148,offer completed,0ac4cc504d9047d3aac00d5c8417f784,0,23.08
149,149,offer completed,257ea016615b44b9ba7caca046d0261a,0,18.74
150,150,offer completed,1e8afbff73494145a26f9b5475dfc9f6,0,25.96
151,151,offer completed,3c2f772174ea4c4fa501a2275a614876,0,10.25
152,152,offer completed,b64b461c1e4547359eb09ad574ff6f5d,0,21.97
153,153,offer completed,0206e1388c34454caba2b7fce3123943,0,16.62
154,154,offer completed,dd2f15d3224349b3a54cbb4a91e89e0c,0,32.61
155,155,offer completed,461f33f4bfad4209944e465e620039eb,0,34.88
156,156,offer completed,b49c9836c2c84ebbb3a007739527ffc2,0,16.76
157,157,offer completed,76244aaaebc54b67b4d0e236a58c6ff3,0,11.1
158,158,offer completed,86b493a2b7554a11aedf51eca0c6b033,0,26.5
159,159,offer completed,b1b28e36ca0d4c849f7a9204a9a78eff,0,9.08
160,160,offer completed,2459a2c15aa6485786c095a1d5b39d18,0,21.4
161,161,offer completed,917dee13d24f45548be30b7bb32ba50d,0,19.53
162,162,offer completed,9d761dd3dffa40b584ea9e0030d7083e,0,14.57
163,163,offer completed,c8c7d3b6effd4f518878e42f7d5428a1,0,16.32
164,164,offer completed,83d2641895054948946aa6e898b85632,0,15.22
165,165,offer completed,a52af30da74d48c582ff6735cc3d41c0,0,13.67
166,166,offer completed,f15a85e0d2f946cf8b1e6f8e99b1a72d,0,23.03
167,167,offer completed,645bdee43b0f43899320fcb0b427084c,0,10.96
168,168,offer completed,029e063479234fb1b6c8727c3d45de62,0,37.34
169,169,offer completed,b6e07f29867b4284aa42106bdc4d51d3,0,39.64
170,170,offer completed,afce4cf8194f4e90a3e92da941a23601,0,13.93
171,171,offer completed,a2ffc22184d94d6fa21b924eb49c0d06,0,18.97
172,172,offer completed,b860d355ef6e4c66b5d5a837c56ef32d,0,38.38
173,173,offer completed,99297ea01107436fa8c2e2bc86f55d89,0,5.78
174,174,offer completed,24115a61df25473e84a8a03f3c98de1a,0,14.27
175,175,offer completed,2481f1fcfbcb4b288e5a03af02d95373,0,30.03
176,176,offer completed,de90515e9f174ddfb8b4c677448286ef,0,19.82
177,177,offer completed,5152fa6375184287b06e2fd0d5abed34,0,11.83
